system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
burgers,1,0.12833453714847565,0.02449391409754753,0.0001590069878147915
burgers,2,0.046371493488550186,0.013388327322900295,0.00014117562386672944
burgers,3,0.030989794060587883,0.009844174608588219,0.0001408387179253623
burgers,4,0.02470213733613491,0.007755760569125414,0.00014670453674625605
burgers,5,0.02165062725543976,0.006575420498847961,0.0001480184291722253
burgers,6,0.01874719373881817,0.005479360464960337,0.00014547920727636665
burgers,7,0.016037113964557648,0.004675679374486208,0.00016273661458399147
burgers,8,0.014387059025466442,0.00418673874810338,0.00015824359434191138
burgers,9,0.013046321459114552,0.0036555337719619274,0.0001700381690170616
burgers,10,0.011856955476105213,0.003119004424661398,0.00016149463772308081
burgers,11,0.011284057050943375,0.002765036653727293,0.0001726806367514655
burgers,12,0.011117503978312016,0.002546780975535512,0.00016039643378462642
burgers,13,0.010777006857097149,0.0023161903955042362,0.00016547669656574726
burgers,14,0.011227297596633434,0.0022619455121457577,0.00016685295850038528
burgers,15,0.011257211677730083,0.002165243262425065,0.00017731543630361557
burgers,16,0.01233921479433775,0.002228524535894394,0.00017781544011086226
