system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.1510113924741745,0.03298099711537361,0.00015935486590024084
heat,2,0.04494233801960945,0.014795256778597832,0.00012610889098141342
heat,3,0.023129398003220558,0.010501418262720108,9.96216622297652e-05
heat,4,0.015831729397177696,0.008794729597866535,0.0001087108175852336
heat,5,0.012526069767773151,0.007861875928938389,0.00010229203326161951
heat,6,0.010667115449905396,0.007229538634419441,0.00011351006105542183
heat,7,0.009622115641832352,0.006673464551568031,0.00010493403533473611
heat,8,0.009247594512999058,0.006450394168496132,0.0001129631491494365
heat,9,0.009115934371948242,0.006362352054566145,0.00010884731455007568
heat,10,0.009276405908167362,0.006308552343398333,0.00011330532288411632
heat,11,0.009635287337005138,0.005972324870526791,0.00010703595035010949
heat,12,0.00937541015446186,0.005190919153392315,0.000121657460113056
heat,13,0.008550961501896381,0.004463144112378359,0.0001162506960099563
heat,14,0.007937251590192318,0.0039888834580779076,0.00012219704512972385
heat,15,0.007558649405837059,0.003630009014159441,0.00012347624578978866
heat,16,0.007161359768360853,0.0033652931451797485,0.00012613643775694072
wave,1,0.1385446935892105,0.025738710537552834,0.0003195668978150934
wave,2,0.051739368587732315,0.016506731510162354,0.00029573612846434116
wave,3,0.03891265019774437,0.013689452782273293,0.0002767510886769742
wave,4,0.03308193013072014,0.011250768788158894,0.0002744722878560424
wave,5,0.02656700648367405,0.008507606573402882,0.00028214033227413893
wave,6,0.022105159237980843,0.006957912817597389,0.00028038406162522733
wave,7,0.01991460658609867,0.006139205303043127,0.000267883442575112
wave,8,0.018724994733929634,0.005491151008754969,0.00027572808903642
wave,9,0.018983477726578712,0.0051369317807257175,0.00027166694053448737
wave,10,0.018297353759407997,0.004737566690891981,0.00027508477796800435
wave,11,0.017000140622258186,0.00422943290323019,0.0002686051884666085
wave,12,0.015803776681423187,0.0037123283836990595,0.00027687387773767114
wave,13,0.014701572246849537,0.003216826356947422,0.0002726296370383352
wave,14,0.014367752708494663,0.0029169418849051,0.0002746561076492071
wave,15,0.013190804980695248,0.0025568956043571234,0.00028104818193241954
wave,16,0.012235722504556179,0.0022973958402872086,0.00027178769232705235
burgers,1,0.12833453714847565,0.02449391409754753,0.0001590069878147915
burgers,2,0.046371493488550186,0.013388327322900295,0.00014117562386672944
burgers,3,0.030989794060587883,0.009844174608588219,0.0001408387179253623
burgers,4,0.02470213733613491,0.007755760569125414,0.00014670453674625605
burgers,5,0.02165062725543976,0.006575420498847961,0.0001480184291722253
burgers,6,0.01874719373881817,0.005479360464960337,0.00014547920727636665
burgers,7,0.016037113964557648,0.004675679374486208,0.00016273661458399147
burgers,8,0.014387059025466442,0.00418673874810338,0.00015824359434191138
burgers,9,0.013046321459114552,0.0036555337719619274,0.0001700381690170616
burgers,10,0.011856955476105213,0.003119004424661398,0.00016149463772308081
burgers,11,0.011284057050943375,0.002765036653727293,0.0001726806367514655
burgers,12,0.011117503978312016,0.002546780975535512,0.00016039643378462642
burgers,13,0.010777006857097149,0.0023161903955042362,0.00016547669656574726
burgers,14,0.011227297596633434,0.0022619455121457577,0.00016685295850038528
burgers,15,0.011257211677730083,0.002165243262425065,0.00017731543630361557
burgers,16,0.01233921479433775,0.002228524535894394,0.00017781544011086226
reaction_diffusion,1,7.069000275805593e-05,3.243174433009699e-05,6.947226938791573e-05
reaction_diffusion,2,2.099959056067746e-05,1.2525518286565784e-05,6.339396350085735e-05
reaction_diffusion,3,2.1526777800318087e-06,1.2704450682576862e-06,5.7465327699901536e-05
reaction_diffusion,4,1.8731400075466809e-07,5.472560360431089e-08,5.2018494898220524e-05
reaction_diffusion,5,1.829608322623244e-06,1.1075882184741204e-06,5.0047885451931506e-05
reaction_diffusion,6,2.5064202873181785e-06,1.6243182017205982e-06,4.6034070692257956e-05
reaction_diffusion,7,5.744683221564628e-06,3.6512676615529926e-06,4.417365926201455e-05
reaction_diffusion,8,8.867046744853724e-06,5.611656433757162e-06,3.88963489967864e-05
reaction_diffusion,9,9.507123650109861e-06,6.096812739997404e-06,3.436732731643133e-05
reaction_diffusion,10,1.0967968592012767e-05,7.03774230714771e-06,2.9945185815449804e-05
reaction_diffusion,11,7.986534001247492e-06,5.0042508519254625e-06,2.6766498194774613e-05
reaction_diffusion,12,5.970293841528473e-06,3.8024406876502326e-06,2.1976489733788185e-05
reaction_diffusion,13,4.352928954176605e-06,2.727639412114513e-06,2.072647839668207e-05
reaction_diffusion,14,3.80996243620757e-06,2.255889057778404e-06,1.9631372197181918e-05
reaction_diffusion,15,2.3494494598708116e-06,1.4083112773732864e-06,1.5038823221402708e-05
reaction_diffusion,16,7.506136512347439e-07,3.739509395472851e-07,1.1977839676546864e-05
