system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.1510113924741745,0.03298099711537361,0.00015935486590024084
heat,2,0.04494233801960945,0.014795256778597832,0.00012610889098141342
heat,3,0.023129398003220558,0.010501418262720108,9.96216622297652e-05
heat,4,0.015831729397177696,0.008794729597866535,0.0001087108175852336
heat,5,0.012526069767773151,0.007861875928938389,0.00010229203326161951
heat,6,0.010667115449905396,0.007229538634419441,0.00011351006105542183
heat,7,0.009622115641832352,0.006673464551568031,0.00010493403533473611
heat,8,0.009247594512999058,0.006450394168496132,0.0001129631491494365
heat,9,0.009115934371948242,0.006362352054566145,0.00010884731455007568
heat,10,0.009276405908167362,0.006308552343398333,0.00011330532288411632
heat,11,0.009635287337005138,0.005972324870526791,0.00010703595035010949
heat,12,0.00937541015446186,0.005190919153392315,0.000121657460113056
heat,13,0.008550961501896381,0.004463144112378359,0.0001162506960099563
heat,14,0.007937251590192318,0.0039888834580779076,0.00012219704512972385
heat,15,0.007558649405837059,0.003630009014159441,0.00012347624578978866
heat,16,0.007161359768360853,0.0033652931451797485,0.00012613643775694072
