system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,7.069000275805593e-05,3.243174433009699e-05,6.947226938791573e-05
reaction_diffusion,2,2.099959056067746e-05,1.2525518286565784e-05,6.339396350085735e-05
reaction_diffusion,3,2.1526777800318087e-06,1.2704450682576862e-06,5.7465327699901536e-05
reaction_diffusion,4,1.8731400075466809e-07,5.472560360431089e-08,5.2018494898220524e-05
reaction_diffusion,5,1.829608322623244e-06,1.1075882184741204e-06,5.0047885451931506e-05
reaction_diffusion,6,2.5064202873181785e-06,1.6243182017205982e-06,4.6034070692257956e-05
reaction_diffusion,7,5.744683221564628e-06,3.6512676615529926e-06,4.417365926201455e-05
reaction_diffusion,8,8.867046744853724e-06,5.611656433757162e-06,3.88963489967864e-05
reaction_diffusion,9,9.507123650109861e-06,6.096812739997404e-06,3.436732731643133e-05
reaction_diffusion,10,1.0967968592012767e-05,7.03774230714771e-06,2.9945185815449804e-05
reaction_diffusion,11,7.986534001247492e-06,5.0042508519254625e-06,2.6766498194774613e-05
reaction_diffusion,12,5.970293841528473e-06,3.8024406876502326e-06,2.1976489733788185e-05
reaction_diffusion,13,4.352928954176605e-06,2.727639412114513e-06,2.072647839668207e-05
reaction_diffusion,14,3.80996243620757e-06,2.255889057778404e-06,1.9631372197181918e-05
reaction_diffusion,15,2.3494494598708116e-06,1.4083112773732864e-06,1.5038823221402708e-05
reaction_diffusion,16,7.506136512347439e-07,3.739509395472851e-07,1.1977839676546864e-05
