system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
wave,1,0.1385446935892105,0.025738710537552834,0.0003195668978150934
wave,2,0.051739368587732315,0.016506731510162354,0.00029573612846434116
wave,3,0.03891265019774437,0.013689452782273293,0.0002767510886769742
wave,4,0.03308193013072014,0.011250768788158894,0.0002744722878560424
wave,5,0.02656700648367405,0.008507606573402882,0.00028214033227413893
wave,6,0.022105159237980843,0.006957912817597389,0.00028038406162522733
wave,7,0.01991460658609867,0.006139205303043127,0.000267883442575112
wave,8,0.018724994733929634,0.005491151008754969,0.00027572808903642
wave,9,0.018983477726578712,0.0051369317807257175,0.00027166694053448737
wave,10,0.018297353759407997,0.004737566690891981,0.00027508477796800435
wave,11,0.017000140622258186,0.00422943290323019,0.0002686051884666085
wave,12,0.015803776681423187,0.0037123283836990595,0.00027687387773767114
wave,13,0.014701572246849537,0.003216826356947422,0.0002726296370383352
wave,14,0.014367752708494663,0.0029169418849051,0.0002746561076492071
wave,15,0.013190804980695248,0.0025568956043571234,0.00028104818193241954
wave,16,0.012235722504556179,0.0022973958402872086,0.00027178769232705235
