system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
burgers,1,0.009907846339046955,0.004879642743617296,9.11445458768867e-05
burgers,2,0.007526291999965906,0.00446541840210557,8.619398431619629e-05
burgers,3,0.007192583754658699,0.004980719182640314,8.329747652169317e-05
burgers,4,0.007987015880644321,0.006307218223810196,8.109044574666768e-05
burgers,5,0.009815915487706661,0.008607902564108372,7.9706049291417e-05
burgers,6,0.012481148354709148,0.011818530037999153,7.996837666723877e-05
burgers,7,0.015519734472036362,0.015483665280044079,8.005927520571277e-05
burgers,8,0.01880630850791931,0.01964341476559639,7.915498281363398e-05
burgers,9,0.02337503433227539,0.024823270738124847,8.132161747198552e-05
burgers,10,0.03231162950396538,0.03236730024218559,8.970852650236338e-05
burgers,11,0.04913516715168953,0.04034164547920227,8.867133146850392e-05
burgers,12,0.07514506578445435,0.04569382965564728,0.00010546577686909586
burgers,13,0.1103290393948555,0.04724534973502159,0.0001106336058001034
burgers,14,0.15411365032196045,0.047124024480581284,0.00011824908870039508
burgers,15,0.21315057575702667,0.046922288835048676,0.00011998409172520041
burgers,16,0.2979651391506195,0.0468929186463356,0.00013230963668320328
