system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.007531337905675173,0.004579589702188969,7.274946256075054e-05
heat,2,0.005424180533736944,0.0036609750241041183,6.682085222564638e-05
heat,3,0.004588524345308542,0.0034012042451649904,6.753852358087897e-05
heat,4,0.004573263227939606,0.003587059210985899,6.72892783768475e-05
heat,5,0.0053149741142988205,0.0042227101512253284,6.737194053130224e-05
heat,6,0.006641987711191177,0.005162366200238466,6.89011430949904e-05
heat,7,0.008815929293632507,0.006524710915982723,7.153268234105781e-05
heat,8,0.011764413677155972,0.00813873577862978,7.181207911344245e-05
heat,9,0.015921304002404213,0.009884650819003582,7.443442154908553e-05
heat,10,0.021113840863108635,0.011583132669329643,8.01871283329092e-05
heat,11,0.027239734306931496,0.01287285890430212,8.215878915507346e-05
heat,12,0.03401266410946846,0.013493294827640057,8.643892215332016e-05
heat,13,0.04086463525891304,0.01346144825220108,9.396970563102514e-05
heat,14,0.04834391176700592,0.01327443029731512,9.833591320784763e-05
heat,15,0.056106287986040115,0.013019409961998463,0.00010213873611064628
heat,16,0.06614240258932114,0.012815596535801888,9.520243474980816e-05
wave,1,0.04195732995867729,0.01259975042194128,0.00021632165589835495
wave,2,0.022588474676012993,0.009288701228797436,0.00020251180103514344
wave,3,0.01726481504738331,0.008127818815410137,0.00019969415734522045
wave,4,0.015357960015535355,0.007873608730733395,0.00020170144853182137
wave,5,0.01599043793976307,0.008538695052266121,0.0002090730849886313
wave,6,0.019537080079317093,0.010274456813931465,0.00020860190852545202
wave,7,0.02571689523756504,0.012509225867688656,0.0002124049060512334
wave,8,0.03536200150847435,0.015120564959943295,0.00020302063785493374
wave,9,0.04909689351916313,0.017591627314686775,0.00020323655917309225
wave,10,0.06691108644008636,0.019539562985301018,0.00021210072736721486
wave,11,0.08974612504243851,0.02096288651227951,0.0002181135641876608
wave,12,0.11809954792261124,0.021899396553635597,0.0002133515226887539
wave,13,0.1429644078016281,0.021409695968031883,0.0002292152785230428
wave,14,0.16409553587436676,0.019826721400022507,0.00022554995666723698
wave,15,0.18689680099487305,0.019509978592395782,0.00022535992320626974
wave,16,0.2134055644273758,0.01970118284225464,0.00023697063443250954
burgers,1,0.009907846339046955,0.004879642743617296,9.11445458768867e-05
burgers,2,0.007526291999965906,0.00446541840210557,8.619398431619629e-05
burgers,3,0.007192583754658699,0.004980719182640314,8.329747652169317e-05
burgers,4,0.007987015880644321,0.006307218223810196,8.109044574666768e-05
burgers,5,0.009815915487706661,0.008607902564108372,7.9706049291417e-05
burgers,6,0.012481148354709148,0.011818530037999153,7.996837666723877e-05
burgers,7,0.015519734472036362,0.015483665280044079,8.005927520571277e-05
burgers,8,0.01880630850791931,0.01964341476559639,7.915498281363398e-05
burgers,9,0.02337503433227539,0.024823270738124847,8.132161747198552e-05
burgers,10,0.03231162950396538,0.03236730024218559,8.970852650236338e-05
burgers,11,0.04913516715168953,0.04034164547920227,8.867133146850392e-05
burgers,12,0.07514506578445435,0.04569382965564728,0.00010546577686909586
burgers,13,0.1103290393948555,0.04724534973502159,0.0001106336058001034
burgers,14,0.15411365032196045,0.047124024480581284,0.00011824908870039508
burgers,15,0.21315057575702667,0.046922288835048676,0.00011998409172520041
burgers,16,0.2979651391506195,0.0468929186463356,0.00013230963668320328
reaction_diffusion,1,0.00034455026616342366,2.346212750126142e-05,7.302047742996365e-05
reaction_diffusion,2,2.5800227376748808e-05,1.0195088179898448e-05,6.878936983412132e-05
reaction_diffusion,3,2.0606954421964474e-05,1.2925538612762466e-05,6.367980677168816e-05
reaction_diffusion,4,2.658228186191991e-05,1.737245656840969e-05,5.6724231399130076e-05
reaction_diffusion,5,3.1731346098240465e-05,2.1007424948038533e-05,5.928919927100651e-05
reaction_diffusion,6,4.007316965726204e-05,2.6958532544085756e-05,5.269951725495048e-05
reaction_diffusion,7,4.609513052855618e-05,3.1388801289722323e-05,4.71987332275603e-05
reaction_diffusion,8,4.6837289119139314e-05,3.225614636903629e-05,4.198198075755499e-05
reaction_diffusion,9,5.736438833991997e-05,3.9643782656639814e-05,3.731873584911227e-05
reaction_diffusion,10,6.267742719501257e-05,4.353019539848901e-05,3.6089561035623774e-05
reaction_diffusion,11,6.189189298311248e-05,4.287277624825947e-05,3.758886668947525e-05
reaction_diffusion,12,7.084345270413905e-05,4.9528251111041754e-05,3.2816602470120415e-05
reaction_diffusion,13,7.18330338713713e-05,5.011152461520396e-05,2.895922261814121e-05
reaction_diffusion,14,6.667062552878633e-05,4.699385681306012e-05,2.4921293515944853e-05
reaction_diffusion,15,7.018431642791256e-05,4.914185410598293e-05,2.1199623006395996e-05
reaction_diffusion,16,7.813813863322139e-05,5.474391218740493e-05,2.1900870706303976e-05
