system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.007531337905675173,0.004579589702188969,7.274946256075054e-05
heat,2,0.005424180533736944,0.0036609750241041183,6.682085222564638e-05
heat,3,0.004588524345308542,0.0034012042451649904,6.753852358087897e-05
heat,4,0.004573263227939606,0.003587059210985899,6.72892783768475e-05
heat,5,0.0053149741142988205,0.0042227101512253284,6.737194053130224e-05
heat,6,0.006641987711191177,0.005162366200238466,6.89011430949904e-05
heat,7,0.008815929293632507,0.006524710915982723,7.153268234105781e-05
heat,8,0.011764413677155972,0.00813873577862978,7.181207911344245e-05
heat,9,0.015921304002404213,0.009884650819003582,7.443442154908553e-05
heat,10,0.021113840863108635,0.011583132669329643,8.01871283329092e-05
heat,11,0.027239734306931496,0.01287285890430212,8.215878915507346e-05
heat,12,0.03401266410946846,0.013493294827640057,8.643892215332016e-05
heat,13,0.04086463525891304,0.01346144825220108,9.396970563102514e-05
heat,14,0.04834391176700592,0.01327443029731512,9.833591320784763e-05
heat,15,0.056106287986040115,0.013019409961998463,0.00010213873611064628
heat,16,0.06614240258932114,0.012815596535801888,9.520243474980816e-05
