system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
wave,1,0.04195732995867729,0.01259975042194128,0.00021632165589835495
wave,2,0.022588474676012993,0.009288701228797436,0.00020251180103514344
wave,3,0.01726481504738331,0.008127818815410137,0.00019969415734522045
wave,4,0.015357960015535355,0.007873608730733395,0.00020170144853182137
wave,5,0.01599043793976307,0.008538695052266121,0.0002090730849886313
wave,6,0.019537080079317093,0.010274456813931465,0.00020860190852545202
wave,7,0.02571689523756504,0.012509225867688656,0.0002124049060512334
wave,8,0.03536200150847435,0.015120564959943295,0.00020302063785493374
wave,9,0.04909689351916313,0.017591627314686775,0.00020323655917309225
wave,10,0.06691108644008636,0.019539562985301018,0.00021210072736721486
wave,11,0.08974612504243851,0.02096288651227951,0.0002181135641876608
wave,12,0.11809954792261124,0.021899396553635597,0.0002133515226887539
wave,13,0.1429644078016281,0.021409695968031883,0.0002292152785230428
wave,14,0.16409553587436676,0.019826721400022507,0.00022554995666723698
wave,15,0.18689680099487305,0.019509978592395782,0.00022535992320626974
wave,16,0.2134055644273758,0.01970118284225464,0.00023697063443250954
