direct_ground_damage_rel_mse,experiment,latent_damage_mse,state_damage_rel_mse,step,system
0.00010788284271256998,single_horizon_ablation,0.07963013648986816,0.013868071138858795,1,heat
9.396169480169192e-05,single_horizon_ablation,0.029523329809308052,0.008215219713747501,2,heat
9.130837861448526e-05,single_horizon_ablation,0.02011692523956299,0.006630598101764917,3,heat
9.352739289170131e-05,single_horizon_ablation,0.016958752647042274,0.005999625660479069,4,heat
9.254262840840966e-05,single_horizon_ablation,0.015129481442272663,0.005611268337816,5,heat
9.979640890378505e-05,single_horizon_ablation,0.014781246893107891,0.00558487931266427,6,heat
9.722363029140979e-05,single_horizon_ablation,0.015060730278491974,0.005686406511813402,7,heat
0.00010020507761510089,single_horizon_ablation,0.01604667492210865,0.005894843023270369,8,heat
0.00010095819015987217,single_horizon_ablation,0.01761617325246334,0.006161801517009735,9,heat
0.00010312088852515444,single_horizon_ablation,0.019023451954126358,0.006282602436840534,10,heat
0.00010552334424573928,single_horizon_ablation,0.020700940862298012,0.00632347771897912,11,heat
0.00011351628927513957,single_horizon_ablation,0.021992461755871773,0.006121031474322081,12,heat
0.00012429096386767924,single_horizon_ablation,0.024044804275035858,0.006110760848969221,13,heat
0.00011841494415421039,single_horizon_ablation,0.025401150807738304,0.00586497038602829,14,heat
0.00011015335621777922,single_horizon_ablation,0.026469001546502113,0.005482643377035856,15,heat
0.00012080014130333439,single_horizon_ablation,0.0266557689756155,0.004956937860697508,16,heat
0.0003031986125279218,single_horizon_ablation,0.11337932199239731,0.022970588877797127,1,wave
0.0002945912419818342,single_horizon_ablation,0.046898651868104935,0.014256016351282597,2,wave
0.00028356685652397573,single_horizon_ablation,0.031116649508476257,0.010905246250331402,3,wave
0.00028145010583102703,single_horizon_ablation,0.024744980037212372,0.009333821013569832,4,wave
0.00027834760840050876,single_horizon_ablation,0.022990992292761803,0.00887179747223854,5,wave
0.0002862043329514563,single_horizon_ablation,0.022705646231770515,0.008759746327996254,6,wave
0.0002948529436253011,single_horizon_ablation,0.023712338879704475,0.008681156672537327,7,wave
0.00031651093740947545,single_horizon_ablation,0.024808138608932495,0.008504867553710938,8,wave
0.0003239933867007494,single_horizon_ablation,0.025791019201278687,0.008151540532708168,9,wave
0.00033165307831950486,single_horizon_ablation,0.026525497436523438,0.0076690493151545525,10,wave
0.00035469201975502074,single_horizon_ablation,0.02711576037108898,0.006988115143030882,11,wave
0.0003681505040731281,single_horizon_ablation,0.027210138738155365,0.006298513151705265,12,wave
0.00034277583472430706,single_horizon_ablation,0.027272241190075874,0.00599606242030859,13,wave
0.0003664143441710621,single_horizon_ablation,0.027570685371756554,0.006099659949541092,14,wave
0.0003481151652522385,single_horizon_ablation,0.029369236901402473,0.006482317578047514,15,wave
0.00035513329203240573,single_horizon_ablation,0.03321949020028114,0.006555457599461079,16,wave
0.00012606939708348364,single_horizon_ablation,0.07955346256494522,0.015520032495260239,1,burgers
0.00011611560330493376,single_horizon_ablation,0.036238476634025574,0.009839109145104885,2,burgers
0.00012073721154592931,single_horizon_ablation,0.02615116350352764,0.008424144238233566,3,burgers
0.00011981842544628307,single_horizon_ablation,0.022739188745617867,0.008256198838353157,4,burgers
0.00012098039587726817,single_horizon_ablation,0.02219603769481182,0.008702156133949757,5,burgers
0.00011325299419695511,single_horizon_ablation,0.02399371564388275,0.009558198042213917,6,burgers
0.00011883398110512644,single_horizon_ablation,0.02676543779671192,0.010371583513915539,7,burgers
0.0001276668335776776,single_horizon_ablation,0.030442742630839348,0.010983429849147797,8,burgers
0.00011878719669766724,single_horizon_ablation,0.03431762009859085,0.011308572255074978,9,burgers
0.00012004314339719713,single_horizon_ablation,0.03744614124298096,0.011231331154704094,10,burgers
0.00011870355228893459,single_horizon_ablation,0.041336312890052795,0.011421045288443565,11,burgers
0.00012542247714009136,single_horizon_ablation,0.045837461948394775,0.011721957474946976,12,burgers
0.00012528734805528075,single_horizon_ablation,0.05591389536857605,0.0126885324716568,13,burgers
0.00012171034177299589,single_horizon_ablation,0.06832460314035416,0.01286617573350668,14,burgers
0.00014220636512618512,single_horizon_ablation,0.07878176122903824,0.01243023294955492,15,burgers
0.00013985001714900136,single_horizon_ablation,0.08466529101133347,0.011359523050487041,16,burgers
7.139102672226727e-05,single_horizon_ablation,5.712849451811053e-05,1.2413132026267704e-05,1,reaction_diffusion
6.819066038588062e-05,single_horizon_ablation,9.557516023050994e-06,4.152044311922509e-06,2,reaction_diffusion
6.659778591711074e-05,single_horizon_ablation,3.7350409911596216e-06,1.7644958916207543e-06,3,reaction_diffusion
6.0377977206371725e-05,single_horizon_ablation,1.6640424291836098e-06,7.649630902051285e-07,4,reaction_diffusion
5.317093018675223e-05,single_horizon_ablation,2.8223448680364527e-06,1.4981999356677989e-06,5,reaction_diffusion
4.6185643441276625e-05,single_horizon_ablation,4.419503511599032e-06,2.527083779568784e-06,6,reaction_diffusion
4.315421392675489e-05,single_horizon_ablation,1.0433918760099914e-05,6.300527275016066e-06,7,reaction_diffusion
