experiment,final_step_rel_mse,full_rel_mse,strategy,system,tail16_rel_mse
single_horizon_ablation,0.09685360640287399,0.08005178719758987,latent,heat,0.08838291466236115
single_horizon_ablation,17.836612701416016,4.7498579025268555,state,heat,11.339329719543457
single_horizon_ablation,0.0954873114824295,0.07963696867227554,latent_branch,heat,0.08747140318155289
single_horizon_ablation,2.8876452445983887,1.0110417604446411,hybrid_2,heat,2.120798349380493
single_horizon_ablation,0.7346643209457397,0.3434668183326721,hybrid_4,heat,0.5983496904373169
single_horizon_ablation,0.2913552522659302,0.1801154613494873,hybrid_8,heat,0.2704269289970398
single_horizon_ablation,0.1621323972940445,0.11889596283435822,hybrid_16,heat,0.16435982286930084
single_horizon_ablation,0.3156466782093048,0.22876094281673431,latent,wave,0.2782045006752014
single_horizon_ablation,5.5166168212890625,2.309972047805786,state,wave,4.212917804718018
single_horizon_ablation,0.3068000078201294,0.22626540064811707,latent_branch,wave,0.27270710468292236
single_horizon_ablation,2.075387954711914,1.0077799558639526,hybrid_2,wave,1.7182105779647827
single_horizon_ablation,0.908282995223999,0.5241933465003967,hybrid_4,wave,0.8019043207168579
single_horizon_ablation,0.5373310446739197,0.34677475690841675,hybrid_8,wave,0.48761415481567383
single_horizon_ablation,0.37796157598495483,0.26938366889953613,hybrid_16,wave,0.35453397035598755
single_horizon_ablation,0.14523130655288696,0.0871671810746193,latent,burgers,0.11789028346538544
single_horizon_ablation,180.20066833496094,35.95260238647461,state,burgers,96.27507781982422
single_horizon_ablation,0.14173446595668793,0.08616682142019272,latent_branch,burgers,0.11565041542053223
single_horizon_ablation,9.26528549194336,2.328435182571411,hybrid_2,burgers,5.51261568069458
single_horizon_ablation,1.214372992515564,0.4809005856513977,hybrid_4,burgers,0.9246006608009338
single_horizon_ablation,0.40724819898605347,0.2115849107503891,hybrid_8,burgers,0.3513575494289398
single_horizon_ablation,0.22160552442073822,0.13098199665546417,hybrid_16,burgers,0.20372891426086426
single_horizon_ablation,0.001856937655247748,0.0027509229257702827,latent,reaction_diffusion,0.0019522333750501275
single_horizon_ablation,0.003420453052967787,0.0038887534756213427,state,reaction_diffusion,0.0034167419653385878
single_horizon_ablation,0.0027448690962046385,0.003321964992210269,latent_branch,reaction_diffusion,0.0028307836037129164
single_horizon_ablation,0.0021974153351038694,0.003007252002134919,hybrid_2,reaction_diffusion,0.002272258512675762
single_horizon_ablation,0.0019169558072462678,0.0028077445458620787,hybrid_4,reaction_diffusion,0.0020124143920838833
single_horizon_ablation,0.0018530163215473294,0.0027585362549871206,hybrid_8,reaction_diffusion,0.0019526835530996323
single_horizon_ablation,0.0018427300965413451,0.002749430714175105,hybrid_16,reaction_diffusion,0.0019442837219685316
crossover_reaction_diffusion_ld16_rl48,0.0018718491774052382,0.0027951060328632593,latent,reaction_diffusion,0.001983505906537175
crossover_reaction_diffusion_ld16_rl48,0.004062156658619642,0.003672788618132472,state,reaction_diffusion,0.0035823092330247164
crossover_reaction_diffusion_ld16_rl48,0.003680061548948288,0.004011025186628103,latent_branch,reaction_diffusion,0.003820727812126279
crossover_reaction_diffusion_ld16_rl48,0.002475934801623225,0.0030645153019577265,hybrid_2,reaction_diffusion,0.0024658420588821173
crossover_reaction_diffusion_ld16_rl48,0.0020333710126578808,0.0028779238928109407,hybrid_4,reaction_diffusion,0.0021277235355228186
crossover_reaction_diffusion_ld16_rl48,0.0019039629260078073,0.002815473824739456,hybrid_8,reaction_diffusion,0.0020194093231111765
crossover_reaction_diffusion_ld16_rl48,0.0018701680237427354,0.002795848762616515,hybrid_16,reaction_diffusion,0.0019847285002470016
crossover_reaction_diffusion_ld16_rl64,0.0019605779089033604,0.0022627422586083412,latent,reaction_diffusion,0.0018117745639756322
crossover_reaction_diffusion_ld16_rl64,0.022963080555200577,0.0125642204657197,state,reaction_diffusion,0.01990133710205555
crossover_reaction_diffusion_ld16_rl64,0.0034638058859854937,0.0033677194733172655,latent_branch,reaction_diffusion,0.003343982854858041
crossover_reaction_diffusion_ld16_rl64,0.00756047060713172,0.0050914110615849495,hybrid_2,reaction_diffusion,0.0066285515204072
crossover_reaction_diffusion_ld16_rl64,0.003612884785979986,0.0031519311014562845,hybrid_4,reaction_diffusion,0.0032857998739928007
