system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
burgers,1,0.0822134017944336,0.014376325532793999,0.00011767788964789361
burgers,2,0.03869689255952835,0.009510748088359833,0.0001092489983420819
burgers,3,0.02676152065396309,0.008186470717191696,0.00010793330147862434
burgers,4,0.022860946133732796,0.007990586571395397,0.00010819051385624334
burgers,5,0.02144721895456314,0.008018194697797298,0.00011200104199815542
burgers,6,0.021404894068837166,0.008193334564566612,0.00010448848479427397
burgers,7,0.02201281487941742,0.00830820482224226,0.00011203718895558268
burgers,8,0.02266722358763218,0.00847166683524847,0.00011349508713465184
burgers,9,0.02352256327867508,0.008803794160485268,0.00011260047176619992
burgers,10,0.02531946450471878,0.00938495621085167,0.00011491252371342853
burgers,11,0.026807110756635666,0.009741910733282566,0.00011958003597101197
burgers,12,0.02871859446167946,0.009451518766582012,0.00012440167483873665
burgers,13,0.029422860592603683,0.00863953959196806,0.00011593087401706725
burgers,14,0.029200265184044838,0.00803453754633665,0.00012484949547797441
burgers,15,0.02745155803859234,0.0076635973528027534,0.00012790653272531927
burgers,16,0.026238275691866875,0.007188854739069939,0.000131014094222337
