system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.06256759166717529,0.012718326412141323,9.462275920668617e-05
heat,2,0.023640505969524384,0.006967914290726185,8.804631943348795e-05
heat,3,0.013886165805161,0.004917721264064312,8.781807991908863e-05
heat,4,0.00992645975202322,0.004101750906556845,8.407853601966053e-05
heat,5,0.008383799344301224,0.0038713773246854544,8.611236262368038e-05
heat,6,0.007983970455825329,0.004004203248769045,8.395783515879884e-05
heat,7,0.008390570990741253,0.004294160287827253,8.826073462842032e-05
heat,8,0.008852475322782993,0.00442612636834383,8.546921890228987e-05
heat,9,0.009860759600996971,0.004588466603308916,9.239684004569426e-05
heat,10,0.010619967244565487,0.004437676165252924,9.396264067618176e-05
heat,11,0.01121648121625185,0.004281354136765003,8.706538937985897e-05
heat,12,0.011486604809761047,0.004056868143379688,9.93978392216377e-05
heat,13,0.011736487038433552,0.003923334181308746,0.00010147026478080079
heat,14,0.012083347886800766,0.003843815764412284,9.796140511753038e-05
heat,15,0.011979502625763416,0.00360309355892241,0.00011291012924630195
heat,16,0.012492690235376358,0.003569608321413398,0.00011089428880950436
