system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.042360275983810425,0.012076951563358307,8.982980216387659e-05
heat,2,0.01741497777402401,0.0067506530322134495,8.169636566890404e-05
heat,3,0.010938587598502636,0.005234328098595142,8.033951598918065e-05
heat,4,0.00818302296102047,0.004640706814825535,8.279788016807288e-05
heat,5,0.006781864911317825,0.0043048313818871975,8.117152901832014e-05
heat,6,0.005870254244655371,0.00402112165465951,8.1850346759893e-05
heat,7,0.005431318189948797,0.003840618534013629,8.205734775401652e-05
heat,8,0.005227641202509403,0.0037403632886707783,8.542339492123574e-05
heat,9,0.005126579198986292,0.0036009701434522867,8.610536315245554e-05
heat,10,0.0051846131682395935,0.003569415770471096,9.055405098479241e-05
heat,11,0.005285884253680706,0.0035545038990676403,8.995765529107302e-05
heat,12,0.0055578104220330715,0.0036436859518289566,9.14609627216123e-05
heat,13,0.00561709376052022,0.0036349359434098005,9.645330283092335e-05
heat,14,0.006124407518655062,0.003903035307303071,9.210261487169191e-05
heat,15,0.006511772982776165,0.004086052067577839,0.00010077295883093029
heat,16,0.006980896461755037,0.004194345790892839,9.848787885857746e-05
