system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.0003776189696509391,5.400026202551089e-05,7.660187111468986e-05
reaction_diffusion,2,0.00015460673603229225,2.704305552470032e-05,6.885324546601623e-05
reaction_diffusion,3,7.83477007644251e-05,1.4986148016760126e-05,6.267751450650394e-05
reaction_diffusion,4,4.4055388570996e-05,9.538977792544756e-06,5.784106542705558e-05
reaction_diffusion,5,3.2804717193357646e-05,8.247097866842523e-06,5.248759771347977e-05
reaction_diffusion,6,2.4708988348720595e-05,7.648575774510391e-06,4.824602001463063e-05
reaction_diffusion,7,2.1778456357424147e-05,8.196620910894126e-06,4.384002022561617e-05
reaction_diffusion,8,1.9584043911891058e-05,8.965515007730573e-06,3.932009349227883e-05
reaction_diffusion,9,1.7986483726417646e-05,9.32822786126053e-06,3.4305976441828534e-05
reaction_diffusion,10,1.6800897356006317e-05,1.0375951205787715e-05,3.0091259759501554e-05
reaction_diffusion,11,1.812514710763935e-05,1.1344194717821665e-05,2.603191023808904e-05
reaction_diffusion,12,1.8610442566568963e-05,1.1475869541754946e-05,2.0992158169974573e-05
reaction_diffusion,13,1.6920121197472326e-05,1.21371931527392e-05,1.8675940737011842e-05
reaction_diffusion,14,1.6603929907432757e-05,1.2413142030709423e-05,1.5789612007210962e-05
reaction_diffusion,15,1.61720654432429e-05,1.2275133485672995e-05,1.3527788723877165e-05
reaction_diffusion,16,1.5763691408210434e-05,1.256660652870778e-05,1.0909358934441116e-05
