system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,6.197716720635071e-05,1.649456135055516e-05,7.028952677501366e-05
reaction_diffusion,2,1.056751989381155e-05,5.042900284024654e-06,6.596456660190597e-05
reaction_diffusion,3,3.0035719191801036e-06,1.5437765341630438e-06,5.7493110944051296e-05
reaction_diffusion,4,5.087567274131288e-07,1.0870577682453586e-07,5.973138831905089e-05
reaction_diffusion,5,1.42410681291949e-06,4.269666931122629e-07,5.398490611696616e-05
reaction_diffusion,6,6.83347877838969e-07,3.0394912187148293e-07,4.785359851666726e-05
reaction_diffusion,7,2.3852246044953063e-07,2.1331112876055158e-08,4.416632145876065e-05
reaction_diffusion,8,7.346639563365898e-07,3.746618517652678e-07,3.8225160096772015e-05
reaction_diffusion,9,4.963643505107029e-07,2.7613029374151665e-07,3.559792821761221e-05
reaction_diffusion,10,1.699514768915833e-07,7.125657930373563e-08,3.062138057430275e-05
reaction_diffusion,11,1.520107701935558e-07,5.700088934190717e-08,2.512680657673627e-05
reaction_diffusion,12,2.0534012890038866e-07,5.370881694943819e-08,2.2263824575929902e-05
reaction_diffusion,13,1.495011048291417e-07,6.090089499366513e-08,2.187622339988593e-05
reaction_diffusion,14,2.7549535275284143e-07,1.503161684013321e-07,1.8313226973987184e-05
reaction_diffusion,15,3.865377493639244e-07,2.7218945319873455e-07,1.391337991663022e-05
reaction_diffusion,16,3.0920796234568115e-07,1.870750878651961e-07,1.2437471013981849e-05
