system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.05125376582145691,0.01162625104188919,8.251883264165372e-05
heat,2,0.01932421512901783,0.0064179361797869205,7.662668213015422e-05
heat,3,0.011244342662394047,0.004705572966486216,7.72890925873071e-05
heat,4,0.00777650298550725,0.0038086718413978815,7.394690328510478e-05
heat,5,0.006331995129585266,0.0034201652742922306,7.364272460108623e-05
heat,6,0.005372776184231043,0.0031183427199721336,7.405615178868175e-05
heat,7,0.0050068083219230175,0.003062461968511343,7.49111786717549e-05
heat,8,0.004986512940376997,0.0031379852443933487,7.423842907883227e-05
heat,9,0.00514604477211833,0.0032673408277332783,7.395774446194991e-05
heat,10,0.005535298492759466,0.0035051447339355946,7.775957783451304e-05
heat,11,0.006187422201037407,0.0037565957754850388,7.814483979018405e-05
heat,12,0.006804028991609812,0.003790659597143531,8.037649240577593e-05
heat,13,0.007354268338531256,0.0037309841718524694,8.672592957736924e-05
heat,14,0.007738303393125534,0.0036690363194793463,8.762812649365515e-05
heat,15,0.008442322723567486,0.003615887137129903,9.066973871085793e-05
heat,16,0.009281978011131287,0.0036377382930368185,8.999368583317846e-05
