system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.0007160906097851694,0.00011128188634756953,7.107164128683507e-05
reaction_diffusion,2,0.0001739421277306974,3.825578824034892e-05,6.305574061116204e-05
reaction_diffusion,3,5.659292219206691e-05,1.5629320841981098e-05,5.75268677494023e-05
reaction_diffusion,4,2.0808707631658763e-05,7.389035545202205e-06,5.2903080359101295e-05
reaction_diffusion,5,9.501696695224382e-06,4.785877990798326e-06,4.717905176221393e-05
reaction_diffusion,6,5.775846602773527e-06,3.3244969017687254e-06,4.197910675429739e-05
reaction_diffusion,7,4.411667305248557e-06,2.8774686597898835e-06,3.931592800654471e-05
reaction_diffusion,8,4.772140982822748e-06,4.201125648251036e-06,3.2868840207811445e-05
reaction_diffusion,9,6.245187705644639e-06,5.402761871664552e-06,3.04009245155612e-05
reaction_diffusion,10,5.784741460956866e-06,4.908659320790321e-06,2.3113547285902314e-05
reaction_diffusion,11,6.574150120286504e-06,5.74485875404207e-06,2.265395778522361e-05
reaction_diffusion,12,6.377393674483756e-06,6.002013833494857e-06,1.9106801119050942e-05
reaction_diffusion,13,5.900739324715687e-06,5.530908310902305e-06,1.549717126181349e-05
reaction_diffusion,14,5.5473360589530785e-06,5.55126143808593e-06,1.322920525126392e-05
reaction_diffusion,15,5.936065008427249e-06,5.629526640404947e-06,1.1583483683352824e-05
reaction_diffusion,16,5.898269137105672e-06,5.586692623182898e-06,9.215556929120794e-06
