system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
heat,1,0.07943757623434067,0.013838611543178558,0.00010872855636989698
heat,2,0.029392870143055916,0.008192230015993118,9.126224176725373e-05
heat,3,0.020102834329009056,0.006656673736870289,9.591754496796057e-05
heat,4,0.016864074394106865,0.005963420961052179,9.614716691430658e-05
heat,5,0.015325506217777729,0.005662194918841124,9.630869317334145e-05
heat,6,0.014714539982378483,0.0055858297273516655,9.942850010702386e-05
heat,7,0.015368196181952953,0.005802546627819538,9.994388528866693e-05
heat,8,0.016476860269904137,0.006023210007697344,0.00010150964953936636
heat,9,0.0181290153414011,0.0062837982550263405,0.00010134976037079468
heat,10,0.019315455108880997,0.006276456639170647,0.00011399543291190639
heat,11,0.021051915362477303,0.006314774043858051,0.00010803739132825285
heat,12,0.022619018331170082,0.006225340534001589,0.00010909954289672896
heat,13,0.024222420528531075,0.0060562863945961,0.00010627570009091869
heat,14,0.02550157718360424,0.005792167503386736,0.0001244026207132265
heat,15,0.026700956746935844,0.0054605198092758656,0.00012667040573433042
heat,16,0.027267858386039734,0.0049780914559960365,0.00011791446740971878
wave,1,0.0972408726811409,0.02138504758477211,0.0003157017345074564
wave,2,0.04171768203377724,0.01323678344488144,0.00031396927079185843
wave,3,0.028329940512776375,0.00994813721626997,0.0003182155196554959
wave,4,0.021717196330428123,0.008232682943344116,0.0003242220846004784
wave,5,0.01873858831822872,0.0074894018471241,0.0003293986083008349
wave,6,0.017507437616586685,0.007105603814125061,0.0003473219112493098
wave,7,0.016306011006236076,0.006714332848787308,0.0003362226707395166
wave,8,0.015625951811671257,0.006551933474838734,0.0003521822509355843
wave,9,0.015041622333228588,0.006426332518458366,0.00036246830131858587
wave,10,0.01461382582783699,0.006382851395756006,0.0003592261055018753
wave,11,0.01483175065368414,0.006528211757540703,0.0003549482498783618
wave,12,0.01556318998336792,0.0068167769350111485,0.00034833935205824673
wave,13,0.017437271773815155,0.007367362733930349,0.00034343969309702516
wave,14,0.02011275663971901,0.007764255162328482,0.0003519691526889801
wave,15,0.02258540689945221,0.007787022273987532,0.00032059522345662117
wave,16,0.02506748028099537,0.007880978286266327,0.0003349502803757787
burgers,1,0.08747491985559464,0.01608978398144245,0.00013188413868192583
burgers,2,0.03225461021065712,0.009565664455294609,0.0001131394601543434
burgers,3,0.020254215225577354,0.007682835683226585,0.00011740986519725993
burgers,4,0.016850421205163002,0.007142348680645227,0.00011068407184211537
burgers,5,0.016095442697405815,0.007046990096569061,0.00010802748874993995
burgers,6,0.01626940257847309,0.007122465874999762,0.00011288336099823937
burgers,7,0.01656506583094597,0.007188471499830484,0.00011509272735565901
burgers,8,0.016826525330543518,0.007121470756828785,0.00011567461478989571
burgers,9,0.0173494890332222,0.0071306489408016205,0.00012227185652591288
burgers,10,0.01776989921927452,0.007110024802386761,0.00012200099445180967
burgers,11,0.018867356702685356,0.007194128818809986,0.0001370518293697387
burgers,12,0.02066359668970108,0.007453403435647488,0.00013075373135507107
burgers,13,0.02312803454697132,0.007631117012351751,0.00013767289055977017
burgers,14,0.026496171951293945,0.007774192839860916,0.00014085025759413838
burgers,15,0.030838048085570335,0.007802970241755247,0.0001427495590178296
burgers,16,0.03276950493454933,0.007244959473609924,0.00013025499356444925
reaction_diffusion,1,8.621310553280637e-05,3.8716563722118735e-05,7.485472451662645e-05
reaction_diffusion,2,2.034807221207302e-05,1.188294936582679e-05,6.789328472223133e-05
reaction_diffusion,3,4.694401923188707e-06,2.754135721261264e-06,6.267367280088365e-05
reaction_diffusion,4,1.9791912109212717e-06,8.541263127881393e-07,5.605887417914346e-05
reaction_diffusion,5,1.3817582100728032e-07,1.2703480045672677e-08,4.957397686666809e-05
reaction_diffusion,6,2.632154121329222e-07,9.761866692770127e-08,4.407186497701332e-05
reaction_diffusion,7,2.9469742912624497e-07,1.330504773022767e-08,4.116100171813741e-05
reaction_diffusion,8,2.903566951317771e-07,3.748819210613874e-08,3.510028909659013e-05
reaction_diffusion,9,3.66359159897911e-07,1.8847468652438693e-07,3.179192935931496e-05
reaction_diffusion,10,2.7356668397260364e-07,1.1522302401090201e-07,2.9143791834940203e-05
reaction_diffusion,11,3.0743754564355186e-07,1.2470741239667404e-07,2.6257088393322192e-05
reaction_diffusion,12,1.2705262975032383e-07,8.614321700406435e-09,2.3240729206008837e-05
reaction_diffusion,13,7.205820224953641e-07,4.447248613814736e-07,1.8885919416788965e-05
reaction_diffusion,14,1.399256802869786e-06,9.360098260913219e-07,1.614250686543528e-05
reaction_diffusion,15,2.159974656024133e-06,1.461606416341965e-06,1.3683629731531255e-05
reaction_diffusion,16,2.863052941393107e-06,1.9251256162533537e-06,1.1378007911844179e-05
