system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,8.621310553280637e-05,3.8716563722118735e-05,7.485472451662645e-05
reaction_diffusion,2,2.034807221207302e-05,1.188294936582679e-05,6.789328472223133e-05
reaction_diffusion,3,4.694401923188707e-06,2.754135721261264e-06,6.267367280088365e-05
reaction_diffusion,4,1.9791912109212717e-06,8.541263127881393e-07,5.605887417914346e-05
reaction_diffusion,5,1.3817582100728032e-07,1.2703480045672677e-08,4.957397686666809e-05
reaction_diffusion,6,2.632154121329222e-07,9.761866692770127e-08,4.407186497701332e-05
reaction_diffusion,7,2.9469742912624497e-07,1.330504773022767e-08,4.116100171813741e-05
reaction_diffusion,8,2.903566951317771e-07,3.748819210613874e-08,3.510028909659013e-05
reaction_diffusion,9,3.66359159897911e-07,1.8847468652438693e-07,3.179192935931496e-05
reaction_diffusion,10,2.7356668397260364e-07,1.1522302401090201e-07,2.9143791834940203e-05
reaction_diffusion,11,3.0743754564355186e-07,1.2470741239667404e-07,2.6257088393322192e-05
reaction_diffusion,12,1.2705262975032383e-07,8.614321700406435e-09,2.3240729206008837e-05
reaction_diffusion,13,7.205820224953641e-07,4.447248613814736e-07,1.8885919416788965e-05
reaction_diffusion,14,1.399256802869786e-06,9.360098260913219e-07,1.614250686543528e-05
reaction_diffusion,15,2.159974656024133e-06,1.461606416341965e-06,1.3683629731531255e-05
reaction_diffusion,16,2.863052941393107e-06,1.9251256162533537e-06,1.1378007911844179e-05
