system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
burgers,1,0.07955346256494522,0.015520032495260239,0.00012606939708348364
burgers,2,0.036238476634025574,0.009839109145104885,0.00011611560330493376
burgers,3,0.02615116350352764,0.008424144238233566,0.00012073721154592931
burgers,4,0.022739188745617867,0.008256198838353157,0.00011981842544628307
burgers,5,0.02219603769481182,0.008702156133949757,0.00012098039587726817
burgers,6,0.02399371564388275,0.009558198042213917,0.00011325299419695511
burgers,7,0.02676543779671192,0.010371583513915539,0.00011883398110512644
burgers,8,0.030442742630839348,0.010983429849147797,0.0001276668335776776
burgers,9,0.03431762009859085,0.011308572255074978,0.00011878719669766724
burgers,10,0.03744614124298096,0.011231331154704094,0.00012004314339719713
burgers,11,0.041336312890052795,0.011421045288443565,0.00011870355228893459
burgers,12,0.045837461948394775,0.011721957474946976,0.00012542247714009136
burgers,13,0.05591389536857605,0.0126885324716568,0.00012528734805528075
burgers,14,0.06832460314035416,0.01286617573350668,0.00012171034177299589
burgers,15,0.07878176122903824,0.01243023294955492,0.00014220636512618512
burgers,16,0.08466529101133347,0.011359523050487041,0.00013985001714900136
