system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,5.712849451811053e-05,1.2413132026267704e-05,7.139102672226727e-05
reaction_diffusion,2,9.557516023050994e-06,4.152044311922509e-06,6.819066038588062e-05
reaction_diffusion,3,3.7350409911596216e-06,1.7644958916207543e-06,6.659778591711074e-05
reaction_diffusion,4,1.6640424291836098e-06,7.649630902051285e-07,6.0377977206371725e-05
reaction_diffusion,5,2.8223448680364527e-06,1.4981999356677989e-06,5.317093018675223e-05
reaction_diffusion,6,4.419503511599032e-06,2.527083779568784e-06,4.6185643441276625e-05
reaction_diffusion,7,1.0433918760099914e-05,6.300527275016066e-06,4.315421392675489e-05
reaction_diffusion,8,1.534101647848729e-05,9.633850822865497e-06,3.633191590779461e-05
reaction_diffusion,9,1.427283223165432e-05,9.136238077189773e-06,3.3101183362305164e-05
reaction_diffusion,10,1.3283020052767824e-05,8.721071026229765e-06,2.909046997956466e-05
reaction_diffusion,11,1.915536449814681e-05,1.2777883966919035e-05,2.507769204385113e-05
reaction_diffusion,12,1.6577627320657484e-05,1.1059047210437711e-05,2.0739769752253778e-05
reaction_diffusion,13,1.4193381502991542e-05,9.601272722647991e-06,1.819158387661446e-05
reaction_diffusion,14,1.5116532267711591e-05,1.025728397507919e-05,1.4063053640711587e-05
reaction_diffusion,15,1.1847026144096162e-05,8.05651507107541e-06,1.2008862540824339e-05
reaction_diffusion,16,9.401746865478344e-06,6.232933628780302e-06,1.0087367627420463e-05
