run_name,seed,latent_dim,rollout_len,best_strategy,best_full_rel_mse,latent_full_rel_mse,hybrid8_full_rel_mse,hybrid16_full_rel_mse,hybrid8_beats_latent,hybrid16_beats_latent,hybrid16_margin_vs_latent
rd_seed13_ld32_rl112,13,32,112,hybrid_8,0.0045025460422039,0.0081645883619785,0.0045025460422039,0.004832467995584,True,True,0.0033321203663945
rd_seed11_ld24_rl112,11,24,112,hybrid_16,0.0041299909353256,0.007189180701971,0.004338966216892,0.0041299909353256,True,True,0.0030591897666454003
rd_seed13_ld20_rl112,13,20,112,hybrid_16,0.0040257424116134,0.0070563028566539,0.0043691243045032,0.0040257424116134,True,True,0.0030305604450405
rd_seed13_ld32_rl96,13,32,96,hybrid_16,0.0025207721628248,0.0049905967898666,0.0025431916583329,0.0025207721628248,True,True,0.0024698246270418
rd_seed7_ld24_rl112,7,24,112,hybrid_16,0.0038626797031611,0.0061673554591834,0.003886779770255,0.0038626797031611,True,True,0.0023046757560223
rd_seed11_ld16_rl112,11,16,112,hybrid_8,0.0044874045997858,0.0067962510511279,0.0044874045997858,0.0046334038488566,True,True,0.0021628472022713003
rd_seed7_ld20_rl112,7,20,112,hybrid_16,0.0053169531747698,0.0074331439100205,0.0055629452690482,0.0053169531747698,True,True,0.0021161907352506993
rd_seed11_ld32_rl96,11,32,96,hybrid_16,0.002902353182435,0.0047774091362953,0.0029768489766865,0.002902353182435,True,True,0.0018750559538603002
rd_seed7_ld16_rl112,7,16,112,hybrid_16,0.0054655997082591,0.0072627090848982,0.0071211145259439,0.0054655997082591,True,True,0.0017971093766391
rd_seed7_ld28_rl112,7,28,112,hybrid_16,0.0046133990399539,0.0061407727189362,0.006971922237426,0.0046133990399539,False,True,0.0015273736789822995
rd_seed11_ld24_rl96,11,24,96,hybrid_8,0.0029571985360234,0.0041311709210276,0.0029571985360234,0.0030569895170629,True,True,0.0010741814039646998
rd_seed13_ld24_rl96,13,24,96,hybrid_16,0.0026441232766956,0.0033514818642288,0.0027167326770722,0.0026441232766956,True,True,0.0007073585875332
rd_seed7_ld20_rl96,7,20,96,hybrid_16,0.0028663389384746,0.0035665861796587,0.0046147406101226,0.0028663389384746,False,True,0.0007002472411840998
rd_seed11_ld28_rl112,11,28,112,hybrid_4,0.0036682565696537,0.0044663101434707,0.0037429814692586,0.0038782265037298,True,True,0.0005880836397409001
rd_seed7_ld24_rl96,7,24,96,hybrid_16,0.0024205297231674,0.0029089828021824,0.0024693000596016,0.0024205297231674,True,True,0.0004884530790150001
rd_seed7_ld16_rl80,7,16,80,hybrid_16,0.0022522632498294,0.0026515955105423,0.0024805886205285,0.0022522632498294,True,True,0.0003993322607129001
rd_seed13_ld24_rl80,13,24,80,hybrid_16,0.0024302520323544,0.0027710197027772,0.0026873934548348,0.0024302520323544,True,True,0.00034076767042280024
rd_seed13_ld16_rl112,13,16,112,hybrid_16,0.0066732983104884,0.0068778893910348,0.0091342162340879,0.0066732983104884,False,True,0.0002045910805463999
