name,seed,latent_dim,rollout_len,return_code,note,output_dir,command
rd_seed7_ld16_rl80,7,16,80,0,ok,rd_confirmation_runs/rd_seed7_ld16_rl80,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld16_rl80 --systems reaction_diffusion --latent-dim 16 --rollout-len 80
rd_seed7_ld16_rl96,7,16,96,0,ok,rd_confirmation_runs/rd_seed7_ld16_rl96,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld16_rl96 --systems reaction_diffusion --latent-dim 16 --rollout-len 96
rd_seed7_ld16_rl112,7,16,112,0,ok,rd_confirmation_runs/rd_seed7_ld16_rl112,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld16_rl112 --systems reaction_diffusion --latent-dim 16 --rollout-len 112
rd_seed7_ld20_rl80,7,20,80,0,ok,rd_confirmation_runs/rd_seed7_ld20_rl80,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld20_rl80 --systems reaction_diffusion --latent-dim 20 --rollout-len 80
rd_seed7_ld20_rl96,7,20,96,0,ok,rd_confirmation_runs/rd_seed7_ld20_rl96,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld20_rl96 --systems reaction_diffusion --latent-dim 20 --rollout-len 96
rd_seed7_ld20_rl112,7,20,112,0,ok,rd_confirmation_runs/rd_seed7_ld20_rl112,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld20_rl112 --systems reaction_diffusion --latent-dim 20 --rollout-len 112
rd_seed7_ld24_rl80,7,24,80,0,ok,rd_confirmation_runs/rd_seed7_ld24_rl80,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld24_rl80 --systems reaction_diffusion --latent-dim 24 --rollout-len 80
rd_seed7_ld24_rl96,7,24,96,0,ok,rd_confirmation_runs/rd_seed7_ld24_rl96,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld24_rl96 --systems reaction_diffusion --latent-dim 24 --rollout-len 96
rd_seed7_ld24_rl112,7,24,112,0,ok,rd_confirmation_runs/rd_seed7_ld24_rl112,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld24_rl112 --systems reaction_diffusion --latent-dim 24 --rollout-len 112
rd_seed7_ld28_rl80,7,28,80,0,ok,rd_confirmation_runs/rd_seed7_ld28_rl80,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --device cpu --outdir rd_confirmation_runs/rd_seed7_ld28_rl80 --systems reaction_diffusion --latent-dim 28 --rollout-len 80
