system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.0003136312880087644,7.521946099586785e-05,7.254620140884072e-05
reaction_diffusion,2,0.00010107226989930496,3.5843546356773004e-05,6.650816067121923e-05
reaction_diffusion,3,5.272611815598793e-05,2.4343164113815874e-05,6.095913704484701e-05
reaction_diffusion,4,3.261084930272773e-05,1.9061177226831205e-05,5.416126441559754e-05
reaction_diffusion,5,2.4943910830188543e-05,1.6480764315929264e-05,4.944932879880071e-05
reaction_diffusion,6,1.7402147932443768e-05,1.3575649063568562e-05,4.4792839617002755e-05
reaction_diffusion,7,1.5310686649172567e-05,1.2880208487331402e-05,3.855863178614527e-05
reaction_diffusion,8,1.276832972507691e-05,1.1515887308632955e-05,3.405995448702015e-05
reaction_diffusion,9,9.137716006080154e-06,8.486812475894112e-06,2.9410077331704088e-05
reaction_diffusion,10,9.058669093064964e-06,8.662402251502499e-06,2.626434616104234e-05
reaction_diffusion,11,6.25426810074714e-06,5.850331945111975e-06,2.263991154904943e-05
reaction_diffusion,12,5.4484885367855895e-06,5.032343779021176e-06,1.863834768300876e-05
reaction_diffusion,13,4.883319434156874e-06,4.11666360378149e-06,1.591509862919338e-05
reaction_diffusion,14,4.084748070454225e-06,3.3072483347496018e-06,1.3027901331952307e-05
reaction_diffusion,15,3.1672777822677745e-06,2.262628186144866e-06,1.0811304491653573e-05
reaction_diffusion,16,2.8602071324712597e-06,1.4751982462257729e-06,8.496907867083792e-06
