system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.0006540345493704081,9.999335452448577e-05,7.050520071061328e-05
reaction_diffusion,2,0.00019024062203243375,3.9242353523150086e-05,6.45414984319359e-05
reaction_diffusion,3,7.624782301718369e-05,2.2287422325462103e-05,6.001344445394352e-05
reaction_diffusion,4,4.19197058363352e-05,1.6853400666150264e-05,5.447900548460893e-05
reaction_diffusion,5,2.6023857571999542e-05,1.3446434422803577e-05,5.014747512177564e-05
reaction_diffusion,6,1.7409691281500272e-05,1.0381384527136106e-05,4.7966525016818196e-05
reaction_diffusion,7,1.2711362614936661e-05,8.426797649008222e-06,4.202339914627373e-05
reaction_diffusion,8,1.010916821542196e-05,6.97352106726612e-06,3.932975960196927e-05
reaction_diffusion,9,8.238853297370952e-06,5.688466444553342e-06,3.361677227076143e-05
reaction_diffusion,10,7.014501079538604e-06,4.698993052443257e-06,3.236587144783698e-05
reaction_diffusion,11,5.981402409815928e-06,3.7964161947456887e-06,2.8103670047130436e-05
reaction_diffusion,12,4.578856987791369e-06,2.970139576063957e-06,2.429224332445301e-05
reaction_diffusion,13,3.951102826249553e-06,2.395936917309882e-06,2.23652932618279e-05
reaction_diffusion,14,3.539352974257781e-06,2.2899560008227127e-06,1.9507549950503744e-05
reaction_diffusion,15,3.3865678688016487e-06,1.86384454536892e-06,1.6057178072514944e-05
reaction_diffusion,16,3.4080840123351663e-06,2.193509999415255e-06,1.4652453501184937e-05
